Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,IncomeLoanRatio,ApplicantCategory
LP001198,1,1,1,1,0,8080.0,2250.0,180.0,360.0,1.0,2,1,10330.0,57.388888888888886,2
LP001199,1,1,2,0,0,3357.0,2859.0,144.0,360.0,1.0,2,1,6216.0,43.166666666666664,1
LP001205,1,1,0,1,0,2500.0,3796.0,120.0,360.0,1.0,2,1,6296.0,52.46666666666667,1
LP001206,1,1,3,1,0,3029.0,0.0,99.0,360.0,1.0,2,1,3029.0,30.595959595959595,1
LP001207,1,1,0,0,1,2609.0,3449.0,165.0,180.0,0.0,0,0,6058.0,36.71515151515152,1
LP001213,1,1,1,1,0,4945.0,0.0,146.41216216216216,360.0,0.0,0,0,4945.0,33.774516590521024,1
LP001222,0,0,0,1,0,4166.0,0.0,116.0,360.0,0.0,1,0,4166.0,35.91379310344828,1
LP001225,1,1,0,1,0,5726.0,4595.0,258.0,360.0,1.0,1,0,10321.0,40.00387596899225,2
LP001228,1,0,0,0,0,3200.0,2254.0,126.0,180.0,0.0,2,0,5454.0,43.285714285714285,1
LP001233,1,1,1,1,0,10750.0,0.0,312.0,360.0,1.0,2,1,10750.0,34.455128205128204,2
LP001238,1,1,3,0,1,7100.0,0.0,125.0,60.0,1.0,2,1,7100.0,56.8,1
LP001241,0,0,0,1,0,4300.0,0.0,136.0,360.0,0.0,1,0,4300.0,31.61764705882353,1
LP001243,1,1,0,1,0,3208.0,3066.0,172.0,360.0,1.0,2,1,6274.0,36.47674418604651,1
LP001245,1,1,2,0,1,1875.0,1875.0,97.0,360.0,1.0,1,1,3750.0,38.65979381443299,1
LP001248,1,0,0,1,0,3500.0,0.0,81.0,300.0,1.0,1,1,3500.0,43.20987654320987,1
LP001250,1,1,3,0,0,4755.0,0.0,95.0,342.0,0.0,1,0,4755.0,50.05263157894737,1
LP001253,1,1,3,1,1,5266.0,1774.0,187.0,360.0,1.0,1,1,7040.0,37.64705882352941,1
LP001255,1,0,0,1,0,3750.0,0.0,113.0,480.0,1.0,2,0,3750.0,33.1858407079646,1
LP001256,1,0,0,1,0,3750.0,4750.0,176.0,360.0,1.0,2,0,8500.0,48.29545454545455,2
LP001259,1,1,1,1,1,1000.0,3022.0,110.0,360.0,1.0,2,0,4022.0,36.56363636363636,1
LP001263,1,1,3,1,0,3167.0,4000.0,180.0,300.0,0.0,1,0,7167.0,39.81666666666667,1
LP001264,1,1,3,0,1,3333.0,2166.0,130.0,360.0,1.0,1,1,5499.0,42.3,1
LP001265,0,0,0,1,0,3846.0,0.0,111.0,360.0,1.0,1,1,3846.0,34.648648648648646,1
LP001266,1,1,1,1,1,2395.0,0.0,146.41216216216216,360.0,1.0,1,1,2395.0,16.357930684387835,0
LP001267,0,1,2,1,0,1378.0,1881.0,167.0,360.0,1.0,2,0,3259.0,19.51497005988024,1
LP001273,1,1,0,1,0,6000.0,2250.0,265.0,360.0,1.0,1,0,8250.0,31.132075471698112,2
LP001275,1,1,1,1,0,3988.0,0.0,50.0,240.0,1.0,2,1,3988.0,79.76,1
LP001279,1,0,0,1,0,2366.0,2531.0,136.0,360.0,1.0,1,1,4897.0,36.00735294117647,1
LP001280,1,1,2,0,0,3333.0,2000.0,99.0,360.0,1.0,1,1,5333.0,53.86868686868687,1
LP001282,1,1,0,1,0,2500.0,2118.0,104.0,360.0,1.0,1,1,4618.0,44.40384615384615,1
LP001289,1,0,0,1,0,8566.0,0.0,210.0,360.0,1.0,2,1,8566.0,40.79047619047619,2
LP001310,1,1,0,1,0,5695.0,4167.0,175.0,360.0,1.0,1,1,9862.0,56.354285714285716,2
LP001316,1,1,0,1,0,2958.0,2900.0,131.0,360.0,1.0,1,1,5858.0,44.717557251908396,1
LP001318,1,1,2,1,0,6250.0,5654.0,188.0,180.0,1.0,1,1,11904.0,63.319148936170215,2
LP001319,1,1,2,0,0,3273.0,1820.0,81.0,360.0,1.0,2,1,5093.0,62.876543209876544,1
LP001322,1,0,0,1,0,4133.0,0.0,122.0,360.0,1.0,1,1,4133.0,33.877049180327866,1
LP001325,1,0,0,0,0,3620.0,0.0,25.0,120.0,1.0,1,1,3620.0,144.8,1
LP001326,1,0,0,1,0,6782.0,0.0,146.41216216216216,360.0,1.0,2,0,6782.0,46.3212884766256,1
LP001327,0,1,0,1,0,2484.0,2302.0,137.0,360.0,1.0,1,1,4786.0,34.934306569343065,1
LP001333,1,1,0,1,0,1977.0,997.0,50.0,360.0,1.0,1,1,2974.0,59.48,0
LP001334,1,1,0,0,0,4188.0,0.0,115.0,180.0,1.0,1,1,4188.0,36.417391304347824,1
LP001343,1,1,0,1,0,1759.0,3541.0,131.0,360.0,1.0,1,1,5300.0,40.458015267175576,1
LP001345,1,1,2,0,0,4288.0,3263.0,133.0,180.0,1.0,2,1,7551.0,56.774436090225564,2
LP001349,1,0,0,1,0,4843.0,3806.0,151.0,360.0,1.0,1,1,8649.0,57.27814569536424,2
LP001350,1,1,0,1,0,13650.0,0.0,146.41216216216216,360.0,1.0,2,1,13650.0,93.22995985047764,2
LP001356,1,1,0,1,0,4652.0,3583.0,146.41216216216216,360.0,1.0,1,1,8235.0,56.24532742627717,2
LP001357,1,1,0,1,0,3816.0,754.0,160.0,360.0,1.0,2,1,4570.0,28.5625,1
LP001367,1,1,1,1,0,3052.0,1030.0,100.0,360.0,1.0,2,1,4082.0,40.82,1
LP001369,1,1,2,1,0,11417.0,1126.0,225.0,360.0,1.0,2,1,12543.0,55.74666666666667,2
LP001370,1,0,0,0,0,7333.0,0.0,120.0,360.0,1.0,0,0,7333.0,61.108333333333334,1
LP001379,1,1,2,1,0,3800.0,3600.0,216.0,360.0,0.0,2,0,7400.0,34.25925925925926,1
LP001384,1,1,3,0,0,2071.0,754.0,94.0,480.0,1.0,1,1,2825.0,30.0531914893617,0
LP001385,1,0,0,1,0,5316.0,0.0,136.0,360.0,1.0,2,1,5316.0,39.088235294117645,1
LP001387,0,1,0,1,0,2929.0,2333.0,139.0,360.0,1.0,1,1,5262.0,37.856115107913666,1
LP001391,1,1,0,0,0,3572.0,4114.0,152.0,342.0,0.0,0,0,7686.0,50.56578947368421,2
LP001392,0,0,1,1,1,7451.0,0.0,146.41216216216216,360.0,1.0,1,1,7451.0,50.8905810143523,1
LP001398,1,0,0,1,0,5050.0,0.0,118.0,360.0,1.0,1,1,5050.0,42.79661016949152,1
LP001401,1,1,1,1,0,14583.0,0.0,185.0,180.0,1.0,0,1,14583.0,78.82702702702703,2
LP001404,0,1,0,1,0,3167.0,2283.0,154.0,360.0,1.0,1,1,5450.0,35.38961038961039,1
LP001405,1,1,1,1,0,2214.0,1398.0,85.0,360.0,1.0,2,1,3612.0,42.49411764705882,1
LP001421,1,1,0,1,0,5568.0,2142.0,175.0,360.0,1.0,0,0,7710.0,44.05714285714286,2
LP001422,0,0,0,1,0,10408.0,0.0,259.0,360.0,1.0,2,1,10408.0,40.18532818532819,2
LP001426,1,1,0,1,0,5667.0,2667.0,180.0,360.0,1.0,0,1,8334.0,46.3,2
LP001430,0,0,0,1,0,4166.0,0.0,44.0,360.0,1.0,1,1,4166.0,94.68181818181819,1
LP001431,0,0,0,1,0,2137.0,8980.0,137.0,360.0,0.0,1,1,11117.0,81.14598540145985,2
LP001432,1,1,2,1,0,2957.0,0.0,81.0,360.0,1.0,1,1,2957.0,36.50617283950617,0
LP001439,1,1,0,0,0,4300.0,2014.0,194.0,360.0,1.0,0,1,6314.0,32.54639175257732,1
LP001443,0,0,0,1,0,3692.0,0.0,93.0,360.0,1.0,0,1,3692.0,39.69892473118279,1
LP001448,1,1,3,1,0,23803.0,0.0,370.0,360.0,1.0,0,1,23803.0,64.33243243243243,2
LP001449,1,0,0,1,0,3865.0,1640.0,146.41216216216216,360.0,1.0,0,1,5505.0,37.59933545618164,1
LP001451,1,1,1,1,1,10513.0,3850.0,160.0,180.0,0.0,2,0,14363.0,89.76875,2
LP001465,1,1,0,1,0,6080.0,2569.0,182.0,360.0,1.0,0,0,8649.0,47.52197802197802,2
LP001469,1,0,0,1,1,20166.0,0.0,650.0,480.0,1.0,2,1,20166.0,31.024615384615384,2
LP001473,1,0,0,1,0,2014.0,1929.0,74.0,360.0,1.0,2,1,3943.0,53.28378378378378,1
LP001478,1,0,0,1,0,2718.0,0.0,70.0,360.0,1.0,1,1,2718.0,38.82857142857143,0
LP001482,1,1,0,1,1,3459.0,0.0,25.0,120.0,1.0,1,1,3459.0,138.36,1
LP001487,1,0,0,1,0,4895.0,0.0,102.0,360.0,1.0,1,1,4895.0,47.990196078431374,1
LP001488,1,1,3,1,0,4000.0,7750.0,290.0,360.0,1.0,1,0,11750.0,40.51724137931034,2
LP001489,0,1,0,1,0,4583.0,0.0,84.0,360.0,1.0,0,0,4583.0,54.55952380952381,1
LP001491,1,1,2,1,1,3316.0,3500.0,88.0,360.0,1.0,2,1,6816.0,77.45454545454545,1
LP001492,1,0,0,1,0,14999.0,0.0,242.0,360.0,0.0,1,0,14999.0,61.97933884297521,2
LP001493,1,1,2,0,0,4200.0,1430.0,129.0,360.0,1.0,0,0,5630.0,43.64341085271318,1
LP001497,1,1,2,1,0,5042.0,2083.0,185.0,360.0,1.0,0,0,7125.0,38.513513513513516,1
LP001498,1,0,0,1,0,5417.0,0.0,168.0,360.0,1.0,2,1,5417.0,32.24404761904762,1
LP001504,1,0,0,1,1,6950.0,0.0,175.0,180.0,1.0,1,1,6950.0,39.714285714285715,1
LP001507,1,1,0,1,0,2698.0,2034.0,122.0,360.0,1.0,1,1,4732.0,38.78688524590164,1
LP001508,1,1,2,1,0,11757.0,0.0,187.0,180.0,1.0,2,1,11757.0,62.8716577540107,2
LP001514,0,1,0,1,0,2330.0,4486.0,100.0,360.0,1.0,1,1,6816.0,68.16,1
LP001516,0,1,2,1,0,14866.0,0.0,70.0,360.0,1.0,2,1,14866.0,212.37142857142857,2
LP001518,1,1,1,1,0,1538.0,1425.0,30.0,360.0,1.0,2,1,2963.0,98.76666666666667,0
LP001519,0,0,0,1,0,10000.0,1666.0,225.0,360.0,1.0,0,0,11666.0,51.84888888888889,2
LP001520,1,1,0,1,0,4860.0,830.0,125.0,360.0,1.0,1,1,5690.0,45.52,1
LP001528,1,0,0,1,0,6277.0,0.0,118.0,360.0,0.0,0,0,6277.0,53.19491525423729,1
LP001529,1,1,0,1,1,2577.0,3750.0,152.0,360.0,1.0,0,1,6327.0,41.625,1
LP001531,1,0,0,1,0,9166.0,0.0,244.0,360.0,1.0,2,0,9166.0,37.5655737704918,2
LP001532,1,1,2,0,0,2281.0,0.0,113.0,360.0,1.0,0,0,2281.0,20.1858407079646,0
LP001535,1,0,0,1,0,3254.0,0.0,50.0,360.0,1.0,2,1,3254.0,65.08,1
LP001536,1,1,3,1,0,39999.0,0.0,600.0,180.0,0.0,1,1,39999.0,66.665,2
LP001541,1,1,1,1,0,6000.0,0.0,160.0,360.0,1.0,0,1,6000.0,37.5,1
LP001543,1,1,1,1,0,9538.0,0.0,187.0,360.0,1.0,2,1,9538.0,51.00534759358289,2
LP001546,1,0,0,1,0,2980.0,2083.0,120.0,360.0,1.0,0,1,5063.0,42.19166666666667,1
LP001552,1,1,0,1,0,4583.0,5625.0,255.0,360.0,1.0,1,1,10208.0,40.03137254901961,2
LP001560,1,1,0,0,0,1863.0,1041.0,98.0,360.0,1.0,1,1,2904.0,29.632653061224488,0
LP001562,1,1,0,1,0,7933.0,0.0,275.0,360.0,1.0,2,0,7933.0,28.847272727272728,2
LP001565,1,1,1,1,0,3089.0,1280.0,121.0,360.0,0.0,1,0,4369.0,36.107438016528924,1
LP001570,1,1,2,1,0,4167.0,1447.0,158.0,360.0,1.0,0,1,5614.0,35.53164556962025,1
LP001572,1,1,0,1,0,9323.0,0.0,75.0,180.0,1.0,2,1,9323.0,124.30666666666667,2
LP001574,1,1,0,1,0,3707.0,3166.0,182.0,342.0,1.0,0,1,6873.0,37.76373626373626,1
LP001577,0,1,0,1,0,4583.0,0.0,112.0,360.0,1.0,0,0,4583.0,40.919642857142854,1
LP001578,1,1,0,1,0,2439.0,3333.0,129.0,360.0,1.0,0,1,5772.0,44.74418604651163,1
LP001579,1,0,0,1,0,2237.0,0.0,63.0,480.0,0.0,1,0,2237.0,35.507936507936506,0
LP001580,1,1,2,1,0,8000.0,0.0,200.0,360.0,1.0,1,1,8000.0,40.0,2
LP001581,1,1,0,0,0,1820.0,1769.0,95.0,360.0,1.0,0,1,3589.0,37.77894736842105,1
LP001585,1,1,3,1,0,51763.0,0.0,700.0,300.0,1.0,2,1,51763.0,73.94714285714285,2
LP001586,1,1,3,0,0,3522.0,0.0,81.0,180.0,1.0,0,0,3522.0,43.48148148148148,1
LP001594,1,1,0,1,0,5708.0,5625.0,187.0,360.0,1.0,1,1,11333.0,60.60427807486631,2
LP001603,1,1,0,0,1,4344.0,736.0,87.0,360.0,1.0,1,0,5080.0,58.39080459770115,1
LP001606,1,1,0,1,0,3497.0,1964.0,116.0,360.0,1.0,0,1,5461.0,47.077586206896555,1
LP001608,1,1,2,1,0,2045.0,1619.0,101.0,360.0,1.0,0,1,3664.0,36.277227722772274,1
LP001610,1,1,3,1,0,5516.0,11300.0,495.0,360.0,0.0,1,0,16816.0,33.971717171717174,2
LP001616,1,1,1,1,0,3750.0,0.0,116.0,360.0,1.0,1,1,3750.0,32.327586206896555,1
LP001630,1,0,0,0,0,2333.0,1451.0,102.0,480.0,0.0,2,0,3784.0,37.09803921568628,1
LP001633,1,1,1,1,0,6400.0,7250.0,180.0,360.0,0.0,2,0,13650.0,75.83333333333333,2
LP001634,1,0,0,1,0,1916.0,5063.0,67.0,360.0,1.0,0,0,6979.0,104.16417910447761,1
LP001636,1,1,0,1,0,4600.0,0.0,73.0,180.0,1.0,1,1,4600.0,63.013698630136986,1
LP001637,1,1,1,1,0,33846.0,0.0,260.0,360.0,1.0,1,0,33846.0,130.1769230769231,2
LP001639,0,1,0,1,0,3625.0,0.0,108.0,360.0,1.0,1,1,3625.0,33.56481481481482,1
LP001640,1,1,0,1,1,39147.0,4750.0,120.0,360.0,1.0,1,1,43897.0,365.80833333333334,2
LP001641,1,1,1,1,1,2178.0,0.0,66.0,300.0,0.0,0,0,2178.0,33.0,0
LP001643,1,1,0,1,0,2383.0,2138.0,58.0,360.0,1.0,0,1,4521.0,77.94827586206897,1
LP001644,1,1,0,1,1,674.0,5296.0,168.0,360.0,1.0,0,1,5970.0,35.535714285714285,1
LP001647,1,1,0,1,0,9328.0,0.0,188.0,180.0,1.0,0,1,9328.0,49.61702127659574,2
LP001653,1,0,0,0,0,4885.0,0.0,48.0,360.0,1.0,0,1,4885.0,101.77083333333333,1
LP001656,1,0,0,1,0,12000.0,0.0,164.0,360.0,1.0,1,0,12000.0,73.17073170731707,2
LP001657,1,1,0,0,0,6033.0,0.0,160.0,360.0,1.0,2,0,6033.0,37.70625,1
LP001658,1,0,0,1,0,3858.0,0.0,76.0,360.0,1.0,1,1,3858.0,50.76315789473684,1
LP001664,1,0,0,1,0,4191.0,0.0,120.0,360.0,1.0,0,1,4191.0,34.925,1
LP001665,1,1,1,1,0,3125.0,2583.0,170.0,360.0,1.0,1,0,5708.0,33.576470588235296,1
LP001666,1,0,0,1,0,8333.0,3750.0,187.0,360.0,1.0,0,1,12083.0,64.61497326203208,2
LP001669,0,0,0,0,0,1907.0,2365.0,120.0,342.0,1.0,2,1,4272.0,35.6,1
LP001671,0,1,0,1,0,3416.0,2816.0,113.0,360.0,1.0,1,1,6232.0,55.150442477876105,1
LP001673,1,0,0,1,1,11000.0,0.0,83.0,360.0,1.0,2,0,11000.0,132.53012048192772,2
LP001674,1,1,1,0,0,2600.0,2500.0,90.0,360.0,1.0,1,1,5100.0,56.666666666666664,1
LP001677,1,0,2,1,0,4923.0,0.0,166.0,360.0,0.0,1,1,4923.0,29.656626506024097,1
LP001682,1,1,3,0,0,3992.0,0.0,146.41216216216216,180.0,1.0,2,0,3992.0,27.265494485209285,1
LP001688,1,1,1,0,0,3500.0,1083.0,135.0,360.0,1.0,2,1,4583.0,33.94814814814815,1
LP001691,1,1,2,0,0,3917.0,0.0,124.0,360.0,1.0,1,1,3917.0,31.588709677419356,1
LP001692,0,0,0,0,0,4408.0,0.0,120.0,360.0,1.0,1,1,4408.0,36.733333333333334,1
LP001693,0,0,0,1,0,3244.0,0.0,80.0,360.0,1.0,2,1,3244.0,40.55,1
LP001698,1,0,0,0,0,3975.0,2531.0,55.0,360.0,1.0,0,1,6506.0,118.2909090909091,1
LP001699,1,0,0,1,0,2479.0,0.0,59.0,360.0,1.0,2,1,2479.0,42.016949152542374,0
LP001702,1,0,0,1,0,3418.0,0.0,127.0,360.0,1.0,1,0,3418.0,26.913385826771652,1
LP001708,0,0,0,1,0,10000.0,0.0,214.0,360.0,1.0,1,0,10000.0,46.728971962616825,2
LP001711,1,1,3,1,0,3430.0,1250.0,128.0,360.0,0.0,1,0,4680.0,36.5625,1
LP001713,1,1,1,1,1,7787.0,0.0,240.0,360.0,1.0,2,1,7787.0,32.44583333333333,2
LP001715,1,1,3,0,1,5703.0,0.0,130.0,360.0,1.0,0,1,5703.0,43.86923076923077,1
LP001716,1,1,0,1,0,3173.0,3021.0,137.0,360.0,1.0,2,1,6194.0,45.21167883211679,1
LP001720,1,1,3,0,0,3850.0,983.0,100.0,360.0,1.0,1,1,4833.0,48.33,1
LP001722,1,1,0,1,0,150.0,1800.0,135.0,360.0,1.0,0,0,1950.0,14.444444444444445,0
LP001726,1,1,0,1,0,3727.0,1775.0,131.0,360.0,1.0,1,1,5502.0,42.0,1
LP001732,1,1,2,1,0,5000.0,0.0,72.0,360.0,0.0,1,0,5000.0,69.44444444444444,1
LP001734,0,1,2,1,0,4283.0,2383.0,127.0,360.0,1.0,1,1,6666.0,52.488188976377955,1
LP001736,1,1,0,1,0,2221.0,0.0,60.0,360.0,0.0,2,0,2221.0,37.016666666666666,0
LP001743,1,1,2,1,0,4009.0,1717.0,116.0,360.0,1.0,1,1,5726.0,49.36206896551724,1
LP001744,1,0,0,1,0,2971.0,2791.0,144.0,360.0,1.0,1,1,5762.0,40.013888888888886,1
LP001749,1,1,0,1,0,7578.0,1010.0,175.0,342.0,1.0,1,1,8588.0,49.074285714285715,2
LP001750,1,1,0,1,0,6250.0,0.0,128.0,360.0,1.0,1,1,6250.0,48.828125,1
LP001751,1,1,0,1,0,3250.0,0.0,170.0,360.0,1.0,0,0,3250.0,19.11764705882353,1
LP001754,1,1,0,0,1,4735.0,0.0,138.0,360.0,1.0,2,0,4735.0,34.31159420289855,1
LP001758,1,1,2,1,0,6250.0,1695.0,210.0,360.0,1.0,1,1,7945.0,37.833333333333336,2
LP001760,1,1,0,1,0,4758.0,0.0,158.0,480.0,1.0,1,1,4758.0,30.11392405063291,1
LP001761,1,0,0,1,1,6400.0,0.0,200.0,360.0,1.0,0,1,6400.0,32.0,1
LP001765,1,1,1,1,0,2491.0,2054.0,104.0,360.0,1.0,1,1,4545.0,43.70192307692308,1
LP001768,1,1,0,1,0,3716.0,0.0,42.0,180.0,1.0,0,1,3716.0,88.47619047619048,1
LP001770,1,0,0,0,0,3189.0,2598.0,120.0,342.0,1.0,0,1,5787.0,48.225,1
LP001776,0,0,0,1,0,8333.0,0.0,280.0,360.0,1.0,1,1,8333.0,29.760714285714286,2
LP001778,1,1,1,1,0,3155.0,1779.0,140.0,360.0,1.0,1,1,4934.0,35.24285714285714,1
LP001784,1,1,1,1,0,5500.0,1260.0,170.0,360.0,1.0,0,1,6760.0,39.76470588235294,1
LP001786,1,1,0,1,0,5746.0,0.0,255.0,360.0,1.0,2,0,5746.0,22.533333333333335,1
LP001788,0,0,0,1,1,3463.0,0.0,122.0,360.0,1.0,2,1,3463.0,28.385245901639344,1
LP001790,0,0,1,1,0,3812.0,0.0,112.0,360.0,1.0,0,1,3812.0,34.035714285714285,1
LP001792,1,1,1,1,0,3315.0,0.0,96.0,360.0,1.0,1,1,3315.0,34.53125,1
LP001798,1,1,2,1,0,5819.0,5000.0,120.0,360.0,1.0,0,1,10819.0,90.15833333333333,2
LP001800,1,1,1,0,0,2510.0,1983.0,140.0,180.0,1.0,2,0,4493.0,32.09285714285714,1
LP001806,1,0,0,1,0,2965.0,5701.0,155.0,60.0,1.0,2,1,8666.0,55.909677419354836,2
LP001807,1,1,2,1,1,6250.0,1300.0,108.0,360.0,1.0,0,1,7550.0,69.9074074074074,2
LP001811,1,1,0,0,0,3406.0,4417.0,123.0,360.0,1.0,1,1,7823.0,63.60162601626016,2
LP001813,1,0,0,1,1,6050.0,4333.0,120.0,180.0,1.0,2,0,10383.0,86.525,2
LP001814,1,1,2,1,0,9703.0,0.0,112.0,360.0,1.0,2,1,9703.0,86.63392857142857,2
LP001819,1,1,1,0,0,6608.0,0.0,137.0,180.0,1.0,2,1,6608.0,48.23357664233577,1
LP001824,1,1,1,1,0,2882.0,1843.0,123.0,480.0,1.0,1,1,4725.0,38.41463414634146,1
LP001825,1,1,0,1,0,1809.0,1868.0,90.0,360.0,1.0,2,1,3677.0,40.855555555555554,1
